CommandHandler.java,Java,,13,8,11,32
NameServiceStartThread.java,Java,,29,7,9,45
ORBD.java,Java,,244,50,56,350
ProcessMonitorThread.java,Java,,55,12,21,88
RepositoryImpl.java,Java,,348,78,46,472
ServerMain.java,Java,,247,71,63,381
ServerManagerImpl.java,Java,,467,109,52,628
ServerTableEntry.java,Java,,380,91,55,526
ServerTool.java,Java,,729,166,61,956
CopierManagerImpl.java,Java,,38,12,6,56
FallbackObjectCopierImpl.java,Java,,22,5,10,37
JavaStreamObjectCopierImpl.java,Java,,39,13,8,60
ORBStreamObjectCopierImpl.java,Java,,27,10,8,45
ReferenceObjectCopierImpl.java,Java,,9,4,6,19
AnyImpl.java,Java,,817,136,368,1321
AnyImplHelper.java,Java,,37,9,17,63
AsynchInvoke.java,Java,,25,15,36,76
ContextImpl.java,Java,,53,16,14,83
ContextListImpl.java,Java,,43,10,15,68
CORBAObjectImpl.java,Java,,8,2,17,27
EnvironmentImpl.java,Java,,22,9,14,45
ExceptionListImpl.java,Java,,40,14,14,68
NamedValueImpl.java,Java,,38,9,16,63
NVListImpl.java,Java,,65,16,16,97
PrincipalImpl.java,Java,,13,5,14,32
RequestImpl.java,Java,,249,49,60,358
ServerRequestImpl.java,Java,,139,41,61,241
TCUtility.java,Java,,233,55,25,313
TypeCodeFactory.java,Java,,7,5,6,18
TypeCodeImpl.java,Java,,1745,288,364,2397
TypeCodeImplHelper.java,Java,,41,10,14,65
DynAnyBasicImpl.java,Java,,535,58,25,618
DynAnyCollectionImpl.java,Java,,117,25,45,187
DynAnyComplexImpl.java,Java,,278,40,85,403
DynAnyConstructedImpl.java,Java,,790,72,57,919
DynAnyFactoryImpl.java,Java,,36,15,18,69
DynAnyImpl.java,Java,,118,27,37,182
DynAnyUtil.java,Java,,214,17,89,320
DynArrayImpl.java,Java,,65,18,37,120
DynEnumImpl.java,Java,,110,21,41,172
DynFixedImpl.java,Java,,122,11,59,192
DynSequenceImpl.java,Java,,129,25,85,239
DynStructImpl.java,Java,,40,10,19,69
DynUnionImpl.java,Java,,249,32,86,367
DynValueBoxImpl.java,Java,,88,15,12,115
DynValueCommonImpl.java,Java,,79,18,32,129
DynValueImpl.java,Java,,25,7,9,41
BufferManagerFactory.java,Java,,92,14,19,125
BufferManagerRead.java,Java,,15,13,49,77
BufferManagerReadGrow.java,Java,,48,18,15,81
BufferManagerReadStream.java,Java,,237,51,52,340
BufferManagerWrite.java,Java,,29,20,84,133
BufferManagerWriteCollect.java,Java,,128,39,46,213
BufferManagerWriteGrow.java,Java,,38,17,19,74
BufferManagerWriteStream.java,Java,,53,25,30,108
BufferQueue.java,Java,,24,6,12,42
ByteBufferWithInfo.java,Java,,153,36,50,239
CachedCodeBase.java,Java,,109,43,43,195
CDRInputObject.java,Java,,136,46,67,249
CDRInputStream.java,Java,,346,108,65,519
CDRInputStreamBase.java,Java,,111,31,41,183
CDRInputStream_1_0.java,Java,,1494,445,502,2441
CDRInputStream_1_1.java,Java,,75,45,51,171
CDRInputStream_1_2.java,Java,,56,25,45,126
CDROutputObject.java,Java,,195,42,68,305
CDROutputStream.java,Java,,309,66,38,413
CDROutputStreamBase.java,Java,,101,31,27,159
CDROutputStream_1_0.java,Java,,1254,377,300,1931
CDROutputStream_1_1.java,Java,,54,30,48,132
CDROutputStream_1_2.java,Java,,138,69,134,341
CodeSetCache.java,Java,,33,15,43,91
CodeSetComponentInfo.java,Java,,197,60,68,325
CodeSetConversion.java,Java,,314,113,262,689
EncapsInputStream.java,Java,,92,26,49,167
EncapsOutputStream.java,Java,,59,20,46,125
IDLJavaSerializationInputStream.java,Java,,748,161,156,1065
IDLJavaSerializationOutputStream.java,Java,,557,129,94,780
MarkAndResetHandler.java,Java,,7,4,10,21
MarshalInputStream.java,Java,,44,10,30,84
MarshalOutputStream.java,Java,,46,13,12,71
OSFCodeSetRegistry.java,Java,,104,21,87,212
RestorableInputStream.java,Java,,6,2,11,19
TypeCodeInputStream.java,Java,,117,21,35,173
TypeCodeOutputStream.java,Java,,132,26,84,242
TypeCodeReader.java,Java,,44,7,8,59
WrapperInputStream.java,Java,,154,21,18,193
CDREncapsCodec.java,Java,,94,29,75,198
ClientRequestInfoImpl.java,Java,,497,135,325,957
CodecFactoryImpl.java,Java,,51,16,37,104
InterceptorInvoker.java,Java,,335,74,235,644
InterceptorList.java,Java,,130,30,83,243
IORInfoImpl.java,Java,,151,53,96,300
ORBInitInfoImpl.java,Java,,175,50,138,363
PICurrent.java,Java,,69,25,61,155
PIHandlerImpl.java,Java,,552,138,244,934
PINoOpHandlerImpl.java,Java,,117,47,12,176
RequestInfoImpl.java,Java,,394,120,392,906
ServerRequestInfoImpl.java,Java,,452,138,299,889
SlotTable.java,Java,,44,13,33,90
SlotTableStack.java,Java,,78,25,67,170
FVDCodeBaseImpl.java,Java,,103,28,37,168
IIOPInputStream.java,Java,,1712,371,629,2712
IIOPOutputStream.java,Java,,534,127,141,802
InputStreamHook.java,Java,,267,85,101,453
ObjectStreamClass.java,Java,,996,218,554,1768
ObjectStreamClassCorbaExt.java,Java,,51,14,29,94
ObjectStreamField.java,Java,,154,36,65,255
OptionalDataException.java,Java,,13,6,41,60
OutputStreamHook.java,Java,,141,66,89,296
TypeMismatchException.java,Java,,12,3,14,29
ValueHandlerImpl.java,Java,,576,131,159,866
ValueUtility.java,Java,,321,65,65,451
ByteBuffer.java,Java,,80,18,92,190
EncapsulationUtility.java,Java,,72,18,31,121
FreezableList.java,Java,,85,24,15,124
GenericIdentifiable.java,Java,,54,16,10,80
GenericTaggedComponent.java,Java,,23,8,14,45
GenericTaggedProfile.java,Java,,58,17,10,85
IdentifiableFactoryFinderBase.java,Java,,45,14,6,65
AlternateIIOPAddressComponentImpl.java,Java,,43,15,9,67
CodeSetsComponentImpl.java,Java,,57,18,10,85
IIOPAddressBase.java,Java,,42,12,15,69
IIOPAddressClosureImpl.java,Java,,24,8,9,41
IIOPAddressImpl.java,Java,,38,13,9,60
IIOPProfileImpl.java,Java,,228,65,37,330
IIOPProfileTemplateImpl.java,Java,,101,33,19,153
JavaCodebaseComponentImpl.java,Java,,43,16,9,68
JavaSerializationComponent.java,Java,,42,13,15,70
MaxStreamFormatVersionComponentImpl.java,Java,,51,19,11,81
ORBTypeComponentImpl.java,Java,,41,15,9,65
RequestPartitioningComponentImpl.java,Java,,56,16,3,75
IORImpl.java,Java,,202,65,51,318
IORTemplateImpl.java,Java,,81,25,14,120
IORTemplateListImpl.java,Java,,84,17,10,111
JIDLObjectKeyTemplate.java,Java,,37,14,14,65
NewObjectKeyTemplateBase.java,Java,,37,12,7,56
ObjectAdapterIdArray.java,Java,,28,8,8,44
ObjectAdapterIdBase.java,Java,,57,17,6,80
ObjectAdapterIdNumber.java,Java,,15,5,12,32
ObjectIdImpl.java,Java,,35,10,9,54
ObjectKeyFactoryImpl.java,Java,,119,35,66,220
ObjectKeyImpl.java,Java,,54,18,9,81
ObjectKeyTemplateBase.java,Java,,128,38,13,179
ObjectReferenceFactoryImpl.java,Java,,75,25,24,124
ObjectReferenceProducerBase.java,Java,,26,13,6,45
ObjectReferenceTemplateImpl.java,Java,,95,28,24,147
OldJIDLObjectKeyTemplate.java,Java,,52,20,29,101
OldObjectKeyTemplateBase.java,Java,,21,7,10,38
OldPOAObjectKeyTemplate.java,Java,,49,13,14,76
POAObjectKeyTemplate.java,Java,,43,16,14,73
StubIORImpl.java,Java,,172,37,42,251
TaggedComponentFactoryFinderImpl.java,Java,,33,11,10,54
TaggedProfileFactoryFinderImpl.java,Java,,17,7,9,33
TaggedProfileTemplateFactoryFinderImpl.java,Java,,18,8,9,35
WireObjectKeyTemplate.java,Java,,91,27,19,137
StubDelegateImpl.java,Java,,92,31,67,190
Util.java,Java,,457,78,211,746
PortableRemoteObject.java,Java,,181,54,111,346
DefaultSocketFactory.java,Java,,88,17,8,113
EndPointInfoImpl.java,Java,,76,16,7,99
LegacyServerSocketManagerImpl.java,Java,,121,23,26,170
SocketFactoryAcceptorImpl.java,Java,,46,12,18,76
SocketFactoryConnectionImpl.java,Java,,72,13,17,102
SocketFactoryContactInfoImpl.java,Java,,56,16,22,94
SocketFactoryContactInfoListImpl.java,Java,,23,8,15,46
SocketFactoryContactInfoListIteratorImpl.java,Java,,66,15,18,99
USLPort.java,Java,,14,6,7,27
ActivationSystemException.java,Java,,186,66,13,265
InterceptorsSystemException.java,Java,,702,238,25,965
IORSystemException.java,Java,,360,123,16,499
NamingSystemException.java,Java,,523,179,16,718
OMGSystemException.java,Java,,2814,951,64,3829
ORBUtilSystemException.java,Java,,6740,2213,49,9002
POASystemException.java,Java,,1539,521,34,2094
UtilSystemException.java,Java,,686,224,25,935
MonitoredAttributeInfoFactoryImpl.java,Java,,14,3,6,23
MonitoredAttributeInfoImpl.java,Java,,27,10,6,43
MonitoredObjectFactoryImpl.java,Java,,10,5,6,21
MonitoredObjectImpl.java,Java,,91,27,15,133
MonitoringManagerFactoryImpl.java,Java,,21,7,6,34
MonitoringManagerImpl.java,Java,,26,12,6,44
BindingIteratorImpl.java,Java,,57,18,92,167
InternalBindingKey.java,Java,,52,8,24,84
InternalBindingValue.java,Java,,15,5,13,33
InterOperableNamingImpl.java,Java,,297,22,77,396
NamingContextDataStore.java,Java,,25,11,61,97
NamingContextImpl.java,Java,,502,66,442,1010
NamingUtils.java,Java,,52,15,47,114
TransientBindingIterator.java,Java,,57,10,49,116
TransientNameServer.java,Java,,132,32,54,218
TransientNameService.java,Java,,68,19,53,140
TransientNamingContext.java,Java,,178,30,132,340
CorbalocURL.java,Java,,140,18,112,270
CorbanameURL.java,Java,,55,10,38,103
IIOPEndpointInfo.java,Java,,41,14,20,75
INSURL.java,Java,,9,9,17,35
INSURLBase.java,Java,,32,11,16,59
INSURLHandler.java,Java,,25,9,13,47
NamingConstants.java,Java,,7,5,11,23
Utility.java,Java,,48,12,25,85
InternalBindingKey.java,Java,,79,13,41,133
InternalBindingValue.java,Java,,25,8,33,66
NameServer.java,Java,,48,17,21,86
NameService.java,Java,,129,24,79,232
NamingContextImpl.java,Java,,632,118,553,1303
PersistentBindingIterator.java,Java,,66,12,61,139
ServantManagerImpl.java,Java,,180,49,30,259
NullServantImpl.java,Java,,15,6,6,27
ActiveObjectMap.java,Java,,187,44,17,248
AOMEntry.java,Java,,148,33,24,205
BadServerIdHandler.java,Java,,6,3,28,37
DelegateImpl.java,Java,,101,19,9,129
IdAssignmentPolicyImpl.java,Java,,30,10,6,46
IdUniquenessPolicyImpl.java,Java,,29,10,6,45
ImplicitActivationPolicyImpl.java,Java,,31,10,6,47
LifespanPolicyImpl.java,Java,,29,10,6,45
POACurrent.java,Java,,115,25,24,164
POAFactory.java,Java,,164,41,17,222
POAImpl.java,Java,,1055,261,358,1674
POAManagerImpl.java,Java,,364,80,85,529
POAPolicyMediator.java,Java,,30,19,58,107
POAPolicyMediatorBase.java,Java,,92,25,14,131
POAPolicyMediatorBase_R.java,Java,,133,40,16,189
POAPolicyMediatorFactory.java,Java,,23,2,9,34
POAPolicyMediatorImpl_NR_UDS.java,Java,,81,23,13,117
POAPolicyMediatorImpl_NR_USM.java,Java,,109,28,13,150
POAPolicyMediatorImpl_R_AOM.java,Java,,60,14,16,90
POAPolicyMediatorImpl_R_UDS.java,Java,,69,19,12,100
POAPolicyMediatorImpl_R_USM.java,Java,,260,53,49,362
Policies.java,Java,,243,43,48,334
RequestProcessingPolicyImpl.java,Java,,40,11,6,57
ServantRetentionPolicyImpl.java,Java,,29,10,6,45
ThreadPolicyImpl.java,Java,,29,10,6,45
TOA.java,Java,,6,5,17,28
TOAFactory.java,Java,,63,22,11,96
TOAImpl.java,Java,,126,32,52,210
TransientObjectManager.java,Java,,132,37,21,190
AppletDataCollector.java,Java,,23,9,8,40
DataCollectorBase.java,Java,,306,81,68,455
DataCollectorFactory.java,Java,,32,10,6,48
NormalDataCollector.java,Java,,26,9,6,41
NormalParserAction.java,Java,,18,6,10,34
NormalParserData.java,Java,,22,7,6,35
ORBConfiguratorImpl.java,Java,,441,89,80,610
ORBDataParserImpl.java,Java,,299,56,46,401
ORBImpl.java,Java,,1343,279,467,2089
ORBSingleton.java,Java,,557,142,58,757
ORBVersionImpl.java,Java,,51,19,10,80
ParserAction.java,Java,,8,6,16,30
ParserActionBase.java,Java,,51,16,6,73
ParserActionFactory.java,Java,,15,5,6,26
ParserDataBase.java,Java,,25,5,6,36
ParserTable.java,Java,,836,113,102,1051
PrefixParserAction.java,Java,,72,15,17,104
PrefixParserData.java,Java,,32,10,6,48
PropertyOnlyDataCollector.java,Java,,22,8,0,30
CacheTable.java,Java,,124,6,15,145
Constant.java,Java,,13,6,6,25
Future.java,Java,,21,6,6,33
CondVar.java,Java,,112,28,176,316
DebugMutex.java,Java,,68,12,108,188
Mutex.java,Java,,54,10,105,169
ReentrantMutex.java,Java,,180,33,113,326
Sync.java,Java,,13,21,306,340
SyncUtil.java,Java,,17,4,10,31
CorbaResourceUtil.java,Java,,57,14,6,77
DenseIntMapImpl.java,Java,,34,9,17,60
GuardedAction.java,Java,,38,9,6,53
NameBase.java,Java,,43,10,7,60
